Device: cpu  λs=[0.04, 0.06, 0.08, 0.1, 0.15, 0.2]  seeds=[0, 1, 2]  epochs=15
Loaded MNIST MLP — 1,863,690 params, frozen.

── λ=0.04 seed=0 ── pruner params: 612,611
  [λ=0.04 seed=1] step 2700 ep12 | loss +0.038 | orig 1.000 pruned 0.992 | pruned% h1= 68.2 h2= 59.9 (avg= 64.0)
  [λ=0.04 seed=1] step 2800 ep12 | loss +0.035 | orig 0.992 pruned 0.988 | pruned% h1= 68.3 h2= 60.1 (avg= 64.2)
  [λ=0.04 seed=1] step 2900 ep13 | loss +0.039 | orig 0.996 pruned 0.992 | pruned% h1= 68.4 h2= 60.1 (avg= 64.2)
  [λ=0.04 seed=1] step 3000 ep13 | loss +0.060 | orig 0.992 pruned 0.988 | pruned% h1= 68.7 h2= 60.1 (avg= 64.4)
  [λ=0.04 seed=1] step 3100 ep14 | loss +0.034 | orig 0.992 pruned 0.988 | pruned% h1= 68.7 h2= 60.1 (avg= 64.4)
  [λ=0.04 seed=1] step 3200 ep14 | loss +0.035 | orig 0.992 pruned 0.992 | pruned% h1= 68.7 h2= 60.3 (avg= 64.5)
  [λ=0.04 seed=1] step 3300 ep15 | loss +0.010 | orig 0.996 pruned 0.996 | pruned% h1= 68.7 h2= 60.3 (avg= 64.5)
  [λ=0.04 seed=1] step 3400 ep15 | loss +0.044 | orig 1.000 pruned 0.996 | pruned% h1= 68.8 h2= 60.3 (avg= 64.6)
  [λ=0.04 seed=1] step 3500 ep15 | loss +0.003 | orig 0.992 pruned 0.992 | pruned% h1= 68.8 h2= 60.3 (avg= 64.6)
  → [λ=0.04 seed=1] final keep 0.354  pruned 64.55%  | per-layer kept [319, 407]/[1024, 1024]  | orig→pruned test acc 98.06→97.95%  | 99s

── λ=0.04 seed=2 ── pruner params: 612,611
  [λ=0.04 seed=2] step  100 ep1 | loss +0.021 | orig 0.996 pruned 0.992 | pruned% h1= 28.4 h2= 37.5 (avg= 33.0)
  [λ=0.04 seed=2] step  200 ep1 | loss +0.049 | orig 0.988 pruned 0.988 | pruned% h1=  9.9 h2= 58.7 (avg= 34.3)
  [λ=0.04 seed=2] step  300 ep2 | loss +0.025 | orig 0.996 pruned 0.996 | pruned% h1= 25.4 h2= 59.7 (avg= 42.5)
  [λ=0.04 seed=2] step  400 ep2 | loss +0.042 | orig 0.988 pruned 0.988 | pruned% h1= 43.2 h2= 52.4 (avg= 47.8)
  [λ=0.04 seed=2] step  500 ep3 | loss +0.022 | orig 0.992 pruned 0.992 | pruned% h1= 52.0 h2= 52.9 (avg= 52.4)
  [λ=0.04 seed=2] step  600 ep3 | loss +0.004 | orig 0.988 pruned 0.992 | pruned% h1= 55.7 h2= 55.8 (avg= 55.7)
  [λ=0.04 seed=2] step  700 ep3 | loss +0.027 | orig 0.996 pruned 1.000 | pruned% h1= 59.7 h2= 56.3 (avg= 58.0)
  [λ=0.04 seed=2] step  800 ep4 | loss +0.010 | orig 0.984 pruned 0.992 | pruned% h1= 62.3 h2= 56.7 (avg= 59.5)
  [λ=0.04 seed=2] step  900 ep4 | loss +0.029 | orig 0.996 pruned 0.992 | pruned% h1= 63.4 h2= 57.3 (avg= 60.4)
  [λ=0.04 seed=2] step 1000 ep5 | loss +0.025 | orig 0.988 pruned 0.996 | pruned% h1= 63.2 h2= 57.4 (avg= 60.3)
  [λ=0.04 seed=2] step 1100 ep5 | loss +0.030 | orig 0.992 pruned 1.000 | pruned% h1= 65.8 h2= 57.4 (avg= 61.6)
  [λ=0.04 seed=2] step 1200 ep6 | loss +0.035 | orig 0.992 pruned 0.988 | pruned% h1= 65.7 h2= 57.5 (avg= 61.6)
  [λ=0.04 seed=2] step 1300 ep6 | loss +0.032 | orig 0.996 pruned 1.000 | pruned% h1= 66.4 h2= 57.5 (avg= 62.0)
