Device: cpu  λs=[0.05, 0.1, 0.15, 0.25, 0.4, 0.55]  seeds=[0, 1, 2]  epochs=15
Loaded experiments/checkpoints/mnist_deep4x512.pt: hidden=[512, 512, 512, 512], 1,195,018 params, frozen.

── λ=0.05 seed=0 ── pruner params: 711,429
  [λ=0.05 seed=1] step  700 ep3 | loss +0.045 | orig 0.992 pruned 0.988 | pruned% h1= 12.1 h2=  0.0 h3= 42.8 h4= 65.0 (avg= 30.0)
  [λ=0.05 seed=1] step  800 ep4 | loss +0.055 | orig 0.996 pruned 0.996 | pruned% h1= 15.2 h2=  0.0 h3= 43.9 h4= 65.0 (avg= 31.1)
  [λ=0.05 seed=1] step  900 ep4 | loss +0.038 | orig 0.996 pruned 0.996 | pruned% h1= 18.9 h2=  0.0 h3= 44.9 h4= 65.0 (avg= 32.2)
  [λ=0.05 seed=1] step 1000 ep5 | loss +0.058 | orig 1.000 pruned 0.996 | pruned% h1= 25.4 h2=  0.0 h3= 45.5 h4= 65.2 (avg= 34.0)
  [λ=0.05 seed=1] step 1100 ep5 | loss +0.047 | orig 0.988 pruned 0.988 | pruned% h1= 28.5 h2=  0.0 h3= 45.7 h4= 65.2 (avg= 34.9)
  [λ=0.05 seed=1] step 1200 ep6 | loss +0.042 | orig 0.996 pruned 0.996 | pruned% h1= 35.2 h2=  0.0 h3= 45.9 h4= 65.2 (avg= 36.6)
  [λ=0.05 seed=1] step 1300 ep6 | loss +0.045 | orig 0.996 pruned 0.988 | pruned% h1= 35.7 h2=  0.0 h3= 45.9 h4= 65.2 (avg= 36.7)
  [λ=0.05 seed=1] step 1400 ep6 | loss +0.050 | orig 0.992 pruned 0.988 | pruned% h1= 37.9 h2=  0.0 h3= 45.9 h4= 65.2 (avg= 37.3)
  [λ=0.05 seed=1] step 1500 ep7 | loss +0.062 | orig 1.000 pruned 0.996 | pruned% h1= 38.5 h2=  0.0 h3= 45.9 h4= 65.2 (avg= 37.4)
  [λ=0.05 seed=1] step 1600 ep7 | loss +0.038 | orig 1.000 pruned 1.000 | pruned% h1= 39.1 h2=  0.0 h3= 45.9 h4= 65.2 (avg= 37.5)
  [λ=0.05 seed=1] step 1700 ep8 | loss +0.055 | orig 0.992 pruned 0.980 | pruned% h1= 39.8 h2=  0.0 h3= 45.9 h4= 65.2 (avg= 37.7)
  [λ=0.05 seed=1] step 1800 ep8 | loss +0.063 | orig 1.000 pruned 0.996 | pruned% h1= 41.2 h2=  0.0 h3= 46.3 h4= 65.2 (avg= 38.2)
  [λ=0.05 seed=1] step 1900 ep9 | loss +0.058 | orig 0.996 pruned 0.988 | pruned% h1= 41.8 h2=  0.0 h3= 46.3 h4= 65.2 (avg= 38.3)
  [λ=0.05 seed=1] step 2000 ep9 | loss +0.045 | orig 1.000 pruned 1.000 | pruned% h1= 42.0 h2=  0.0 h3= 46.3 h4= 65.2 (avg= 38.4)
  [λ=0.05 seed=1] step 2100 ep9 | loss +0.052 | orig 1.000 pruned 1.000 | pruned% h1= 43.0 h2=  0.0 h3= 46.5 h4= 65.2 (avg= 38.7)
  [λ=0.05 seed=1] step 2200 ep10 | loss +0.043 | orig 0.992 pruned 0.996 | pruned% h1= 43.2 h2=  0.0 h3= 46.5 h4= 65.2 (avg= 38.7)
  [λ=0.05 seed=1] step 2300 ep10 | loss +0.065 | orig 1.000 pruned 0.992 | pruned% h1= 43.6 h2=  0.0 h3= 46.5 h4= 65.2 (avg= 38.8)
  [λ=0.05 seed=1] step 2400 ep11 | loss +0.060 | orig 0.996 pruned 0.996 | pruned% h1= 43.9 h2=  0.0 h3= 46.5 h4= 65.2 (avg= 38.9)
  [λ=0.05 seed=1] step 2500 ep11 | loss +0.058 | orig 0.992 pruned 0.992 | pruned% h1= 44.1 h2=  0.0 h3= 46.5 h4= 65.2 (avg= 39.0)
  [λ=0.05 seed=1] step 2600 ep12 | loss +0.058 | orig 1.000 pruned 0.996 | pruned% h1= 44.1 h2=  0.0 h3= 46.5 h4= 65.2 (avg= 39.0)
  [λ=0.05 seed=1] step 2700 ep12 | loss +0.044 | orig 0.992 pruned 0.992 | pruned% h1= 44.3 h2=  0.0 h3= 46.5 h4= 65.2 (avg= 39.0)
  [λ=0.05 seed=1] step 2800 ep12 | loss +0.053 | orig 0.996 pruned 0.996 | pruned% h1= 44.3 h2=  0.0 h3= 46.5 h4= 65.2 (avg= 39.0)
  [λ=0.05 seed=1] step 2900 ep13 | loss +0.060 | orig 1.000 pruned 0.996 | pruned% h1= 44.3 h2=  0.0 h3= 46.7 h4= 65.2 (avg= 39.1)
  [λ=0.05 seed=1] step 3000 ep13 | loss +0.045 | orig 1.000 pruned 1.000 | pruned% h1= 44.3 h2=  0.0 h3= 46.7 h4= 65.2 (avg= 39.1)
  [λ=0.05 seed=1] step 3100 ep14 | loss +0.047 | orig 0.992 pruned 0.988 | pruned% h1= 44.3 h2=  0.0 h3= 46.7 h4= 65.2 (avg= 39.1)
  [λ=0.05 seed=1] step 3200 ep14 | loss +0.049 | orig 0.996 pruned 0.996 | pruned% h1= 44.3 h2=  0.0 h3= 46.7 h4= 65.2 (avg= 39.1)
  [λ=0.05 seed=1] step 3300 ep15 | loss +0.052 | orig 1.000 pruned 0.992 | pruned% h1= 44.3 h2=  0.0 h3= 46.7 h4= 65.2 (avg= 39.1)
  [λ=0.05 seed=1] step 3400 ep15 | loss +0.048 | orig 0.996 pruned 0.996 | pruned% h1= 44.3 h2=  0.0 h3= 46.7 h4= 65.2 (avg= 39.1)
