Device: cpu  λs=[0.01, 0.02, 0.03, 0.05, 0.08, 0.12]  seeds=[0, 1, 2]  epochs=15
Loaded experiments/checkpoints/mnist_wide2048.pt: hidden=[2048], 1,628,170 params, frozen.

── λ=0.01 seed=0 ── pruner params: 415,746
  [λ=0.01 seed=2] step 1000 ep5 | loss +0.017 | orig 1.000 pruned 0.996 | pruned% h1= 56.0 (avg= 56.0)
  [λ=0.01 seed=2] step 1100 ep5 | loss +0.010 | orig 1.000 pruned 1.000 | pruned% h1= 59.8 (avg= 59.8)
  [λ=0.01 seed=2] step 1200 ep6 | loss +0.011 | orig 1.000 pruned 0.996 | pruned% h1= 60.2 (avg= 60.2)
  [λ=0.01 seed=2] step 1300 ep6 | loss +0.005 | orig 0.996 pruned 0.996 | pruned% h1= 59.1 (avg= 59.1)
  [λ=0.01 seed=2] step 1400 ep6 | loss +0.019 | orig 1.000 pruned 0.996 | pruned% h1= 60.6 (avg= 60.6)
  [λ=0.01 seed=2] step 1500 ep7 | loss +0.012 | orig 0.996 pruned 0.996 | pruned% h1= 61.5 (avg= 61.5)
  [λ=0.01 seed=2] step 1600 ep7 | loss +0.011 | orig 1.000 pruned 1.000 | pruned% h1= 62.5 (avg= 62.5)
  [λ=0.01 seed=2] step 1700 ep8 | loss +0.018 | orig 1.000 pruned 0.996 | pruned% h1= 62.5 (avg= 62.5)
  [λ=0.01 seed=2] step 1800 ep8 | loss +0.008 | orig 1.000 pruned 1.000 | pruned% h1= 63.8 (avg= 63.8)
  [λ=0.01 seed=2] step 1900 ep9 | loss +0.012 | orig 0.996 pruned 0.992 | pruned% h1= 64.2 (avg= 64.2)
  [λ=0.01 seed=2] step 2000 ep9 | loss -0.000 | orig 0.996 pruned 1.000 | pruned% h1= 64.7 (avg= 64.7)
  [λ=0.01 seed=2] step 2100 ep9 | loss +0.018 | orig 1.000 pruned 0.992 | pruned% h1= 65.1 (avg= 65.1)
  [λ=0.01 seed=2] step 2200 ep10 | loss +0.014 | orig 1.000 pruned 1.000 | pruned% h1= 65.5 (avg= 65.5)
  [λ=0.01 seed=2] step 2300 ep10 | loss +0.010 | orig 0.992 pruned 0.992 | pruned% h1= 65.4 (avg= 65.4)
  [λ=0.01 seed=2] step 2400 ep11 | loss +0.008 | orig 1.000 pruned 1.000 | pruned% h1= 66.2 (avg= 66.2)
  [λ=0.01 seed=2] step 2500 ep11 | loss +0.012 | orig 0.996 pruned 0.996 | pruned% h1= 66.0 (avg= 66.0)
  [λ=0.01 seed=2] step 2600 ep12 | loss -0.003 | orig 0.996 pruned 0.996 | pruned% h1= 66.2 (avg= 66.2)
  [λ=0.01 seed=2] step 2700 ep12 | loss +0.006 | orig 0.996 pruned 1.000 | pruned% h1= 66.5 (avg= 66.5)
