model,lambda,seed,step,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,test_orig_ce,test_pruned_ce,test_delta,gap
gpt2,0.8,0,1000,0.6510688116153082,34.893118838469185,-4.758028934399292,16.40625,False,2.6171306950223094,2.7855499512663022,-0.1684192562439928,3.3292281599854867,3.504241246505152,-0.17501308651966507,0.0065938302756722855
gpt2,0.8,0,1150,0.6628146866957346,33.718531330426536,-1.1745875080426487,12.890625,True,2.6171306950223094,2.760311980646046,-0.14318128562373644,3.3292281599854867,3.449231298607028,-0.12000313862154144,-0.023178147002195004
gpt2,1.6,0,200,0.3752712806065877,62.47287193934123,0.0,0.0,False,2.6171306950223094,3.280731072900114,-0.6636003778778043,3.3292281599854867,4.022151175788713,-0.6929230158032267,0.029322637925422335
gpt2,1.6,0,400,0.3453504840532939,65.46495159467061,2.992079655329377,11.81640625,False,2.6171306950223094,3.2301661312042462,-0.6130354361819368,3.3292281599854867,3.918460866704402,-0.5892327067189154,-0.02380272946302142
gpt2,1.6,0,600,0.3089735321700573,69.10264678299427,3.6376951883236615,10.9375,False,2.6171306950223094,3.315595124468293,-0.6984644294459836,3.3292281599854867,4.090467939758499,-0.7612397797730122,0.06277535032702852
gpt2,1.6,0,800,0.3285590422650178,67.14409577349822,-1.9585510094960483,8.17057490348816,False,2.6171306950223094,3.2820369707622272,-0.6649062757399178,3.3292281599854867,4.020583398380423,-0.6913552383949364,0.026448962655018615
gpt2,1.6,0,1000,0.3551703666647275,64.48296333352725,-2.66113243997097,9.47265625,False,2.6171306950223094,3.183515895149484,-0.5663852001271747,3.3292281599854867,3.8727901032448826,-0.5435619432593959,-0.022823256867778863
gpt2,1.6,0,1100,0.3609483589728673,63.90516410271327,-0.5777992308139801,6.77083432674408,True,2.6171306950223094,3.1509542274185174,-0.533823532396208,3.3292281599854867,3.9198492813611994,-0.5906211213757127,0.05679758897950471
opt125m,0.05,0,200,0.9305284470319748,6.947155296802521,0.0,0.0,False,2.4598153548926462,2.542571334252918,-0.08275597936027168,2.9102497330431762,3.000033437739601,-0.08978370469642494,0.0070277253361532566
opt125m,0.05,0,400,0.8764377385377884,12.356226146221161,5.40907084941864,35.41666269302368,False,2.4598153548926462,2.49149767467338,-0.03168231978073388,2.9102497330431762,2.945389174917211,-0.03513944187403473,0.003457122093300846
opt125m,0.05,0,600,0.8486057122548422,15.139428774515784,2.7832026282946227,14.35546875,False,2.4598153548926462,2.4901248129866773,-0.030309458094031072,2.9102497330431762,2.978122729578386,-0.06787299653520984,0.03756353844117877
opt125m,0.05,0,700,0.8438856502374014,15.611434976259863,0.4720062017440796,3.41796875,True,2.4598153548926462,2.4891322879529567,-0.02931693306031047,2.9102497330431762,2.958390284324661,-0.048140551281484534,0.018823618221174065
opt125m,0.3,0,200,0.713677316904068,28.6322683095932,0.0,0.0,False,2.4598153548926462,2.540309352324856,-0.08049399743220986,2.9102497330431762,3.041231399736523,-0.13098166669334654,0.05048766926113668
opt125m,0.3,0,400,0.6779242853323618,32.20757146676382,3.575303157170616,11.458337306976318,False,2.4598153548926462,2.5684539947360228,-0.10863863984337652,2.9102497330431762,3.1187753932290407,-0.2085256601858645,0.09988702034248798
opt125m,0.3,0,600,0.6453179369370142,35.468206306298576,3.2606348395347595,13.8671875,True,2.4598153548926462,2.6400834488609783,-0.1802680939683321,2.9102497330431762,3.1442952979390397,-0.23404556489586348,0.05377747092753138
opt125m,0.8,0,200,0.5050184602538744,49.498153974612556,0.0,0.0,False,2.4598153548926462,2.679211659403705,-0.21939630451105874,2.9102497330431762,3.3442243188259,-0.43397458578272374,0.214578281271665
opt125m,0.8,0,400,0.4860026178260644,51.39973821739356,1.9015842427810057,11.328125,False,2.4598153548926462,2.707462820907305,-0.2476474660146586,2.9102497330431762,3.3067852833258677,-0.3965355502826915,0.1488880842680329
